,y_yes
20930,0
32327,0
40911,0
16789,0
32487,0
13961,0
35059,0
26261,0
40794,0
12584,0
19371,0
11275,0
9307,0
25988,0
38939,1
36815,0
38740,1
32033,0
40958,0
17747,0
14462,0
20498,0
37603,1
9502,0
33533,0
23779,0
20445,0
15021,0
29957,0
13731,0
17404,0
36949,0
1070,0
30030,1
39511,1
3906,0
31901,0
7466,0
10455,0
16699,0
7680,0
16478,0
18956,0
5914,0
40568,0
14668,0
4040,0
32290,0
6735,0
2596,0
35524,0
26774,1
35388,0
13979,0
12485,0
18977,0
6362,1
27276,0
7538,0
34878,0
30235,1
12216,0
13380,0
23313,0
40761,0
23980,0
28493,0
28288,0
34076,0
15358,0
33705,0
15746,0
39579,1
27091,0
35382,0
41182,0
2706,0
29359,0
28174,0
40821,0
20940,0
5060,0
8678,0
7990,0
4399,0
37723,1
31805,0
16636,0
16138,0
13341,0
12288,0
35579,0
34135,0
6806,0
20812,0
13151,0
12163,0
20102,0
16870,0
38430,1
31179,0
10807,0
20583,0
6486,0
16302,0
890,0
29174,0
10590,0
15294,1
37428,0
17464,0
30360,1
14006,0
30233,1
33261,0
34431,0
38697,1
38806,1
34786,0
8529,1
34527,0
9564,0
8234,0
12905,0
4653,0
25562,0
37646,0
11170,0
2011,0
14745,0
39481,1
29787,0
34840,1
8244,0
22099,0
24656,0
30676,0
7210,0
8049,0
812,0
31457,0
5503,0
37755,1
24802,0
25856,0
28745,0
25958,0
3586,0
40334,0
3427,1
38103,0
23796,0
29781,0
13557,0
32784,0
38269,1
29948,0
15886,0
23640,0
31175,0
22861,0
3533,0
30482,0
383,0
28182,1
2561,0
30974,0
28934,0
37821,0
29272,0
25734,0
15594,0
20559,0
2985,0
24298,0
9590,0
36212,0
4528,0
35994,0
2289,0
23527,0
17390,0
20137,0
28148,0
35939,1
40374,0
24829,0
26157,0
36458,0
5201,0
34555,0
39434,0
20428,0
8378,0
23937,0
40502,0
27334,0
11330,0
40667,0
14251,0
17874,0
14400,0
18105,0
27612,0
4371,0
20777,0
14733,0
22247,0
18653,0
25320,0
34643,0
23369,0
41067,0
31961,0
33256,0
3865,0
10850,0
20934,0
14260,0
26232,0
18132,0
29819,0
14505,0
30656,0
37868,0
37022,0
2656,0
17652,0
25032,0
30522,0
25635,0
37467,1
15963,0
266,0
30001,1
24525,0
33277,0
18538,0
26417,0
41138,1
38584,1
25407,0
22481,0
20015,0
8618,0
34097,0
41115,1
36457,1
37542,0
1177,0
31366,0
15393,0
17833,0
3042,0
13542,1
7250,0
24974,0
20251,0
23222,0
3394,0
12248,0
14182,0
18495,0
21766,0
20464,0
40976,1
25315,0
21053,0
35628,0
27001,0
8216,0
19952,0
22685,0
32090,0
10732,0
1493,0
13157,0
34408,0
7101,0
24997,0
27580,0
7325,0
26190,0
40842,0
8135,1
14997,0
33144,0
19393,0
4119,0
2674,0
38934,1
19972,0
16492,0
544,0
34938,0
21345,0
15037,0
21967,0
26306,0
30807,0
862,0
5403,0
17702,0
31729,0
12083,0
2206,0
35966,0
12006,0
19612,0
40521,0
40406,1
21677,0
15807,0
11890,0
27619,0
22964,1
5770,0
38848,0
15457,0
32381,0
23657,0
6322,0
24749,0
21871,1
33295,0
40973,1
33775,1
22111,0
1189,1
20266,0
28710,0
16576,0
37643,1
33143,0
9450,0
2597,0
167,0
29072,0
20648,0
31657,1
39686,0
21202,0
32731,0
5120,0
25923,0
13684,0
14031,0
24346,0
23310,0
21096,0
23733,0
36988,1
503,0
34602,0
38431,1
27019,0
8619,0
25450,0
23214,0
9643,0
33168,0
24520,0
8196,1
32701,0
32938,0
20830,0
26711,0
32770,0
11744,0
4469,0
11798,0
26483,0
24994,0
618,0
37050,0
12883,0
5574,0
31699,0
31134,0
13387,0
6237,0
26866,0
37561,0
26862,0
36401,1
38225,0
4219,0
14377,0
7020,0
12641,0
10579,0
27574,0
40136,0
12629,0
36356,0
17282,0
9801,0
38545,0
14990,0
5773,0
28644,0
38494,1
15293,0
5089,0
78,0
14316,0
39093,0
11993,0
24932,0
8176,0
33895,0
23080,0
33643,0
29431,0
25003,0
37959,0
16605,0
16552,0
8653,0
2108,0
31774,1
3415,0
10394,0
19659,0
13943,0
8050,0
26179,0
39241,0
5112,1
17099,0
14287,0
36809,1
1416,0
35978,0
28039,0
28223,1
33534,0
20349,0
24498,0
6986,0
9045,0
15452,1
27098,0
15898,0
15472,0
41062,0
10007,0
31538,0
24312,0
32255,0
14409,0
25243,0
10596,0
34236,0
36022,0
17127,0
39610,0
38432,1
18741,0
17283,0
22744,0
2159,0
36618,1
12168,0
39204,1
13492,0
35945,0
36526,1
7659,0
25143,0
40537,0
16413,0
7124,0
21864,0
35571,0
34803,0
7970,0
17705,0
18629,0
4948,0
1916,0
36823,1
24791,0
39280,0
13612,0
31720,0
23116,0
8710,0
2528,0
3190,0
35554,1
6172,0
25879,0
14857,0
16346,0
799,0
13813,0
2338,0
33510,0
31188,0
17543,0
38829,0
20083,0
9820,0
14387,0
23910,0
10303,0
5746,0
21364,0
27376,0
5957,0
6260,0
5388,0
14868,0
31506,0
36627,0
24159,0
12716,0
30278,0
38224,0
19200,0
25422,0
33000,0
34367,0
29762,0
20598,0
14454,0
7571,1
13286,0
5357,0
28045,0
32732,0
9004,0
9506,0
39972,1
21801,0
1884,0
36540,1
9357,0
19862,1
30850,0
18045,0
2627,0
11195,0
18467,0
33379,0
25729,0
32448,0
19118,0
33820,0
3015,0
30078,0
2081,0
21563,0
25900,0
39824,0
8227,0
25057,0
9940,0
14378,0
20736,0
23566,0
5246,0
25036,0
28843,0
21283,0
15546,0
6103,0
31825,0
22415,0
11882,0
20988,0
33945,0
40543,1
7633,0
5500,0
6549,0
15598,0
6866,0
29008,0
12367,0
9539,0
16987,0
24600,0
33581,0
36966,0
32178,0
